epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,477.549,2.16901,2.62703,1.69407,0.44234,0.42844,0.37383,0.13796,2.13489,1.94577,1.56178,0.00999133,0.00333044,0.00999133,0.00333044,0.00999133,0.00333044,0.00999133,0.00333044
2,800.722,2.14211,2.03735,1.58638,0.40469,0.40911,0.34368,0.13461,2.16445,2.01751,1.61605,0.0197934,0.00659781,0.0197934,0.00659781,0.0197934,0.00659781,0.0197934,0.00659781
3,1073.55,2.17938,2.00975,1.62121,0.40365,0.40141,0.33917,0.12713,2.19198,2.02801,1.68821,0.0293975,0.00979917,0.0293975,0.00979917,0.0293975,0.00979917,0.0293975,0.00979917
4,1312.68,2.18078,1.98996,1.62851,0.48481,0.41768,0.39053,0.14969,2.1474,1.95549,1.6079,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1550.06,2.14884,1.91308,1.62136,0.50083,0.42444,0.40258,0.15899,2.12554,1.86521,1.62628,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1789.27,2.11671,1.85637,1.60706,0.47137,0.46009,0.41118,0.16517,2.11842,1.76733,1.6298,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2029.7,2.10636,1.82356,1.58968,0.4798,0.47211,0.42371,0.16985,2.07258,1.78379,1.56398,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2296.95,2.09864,1.80043,1.58441,0.5176,0.47903,0.45331,0.18314,2.07797,1.71246,1.59856,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2742.68,2.08308,1.77711,1.57568,0.49722,0.47901,0.45137,0.18538,2.04641,1.72854,1.57963,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3040.52,2.06893,1.75116,1.57205,0.51748,0.4965,0.46505,0.19427,2.03703,1.71062,1.56249,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3360.53,2.05905,1.72371,1.55884,0.50946,0.50682,0.47639,0.19844,2.0354,1.66456,1.55705,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3688.45,2.05348,1.71555,1.55343,0.532,0.50091,0.47915,0.20212,2.01042,1.66159,1.56004,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3998.46,2.04696,1.6912,1.54918,0.54516,0.51136,0.49158,0.20214,2.02809,1.60824,1.56276,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4276.42,2.05078,1.67654,1.54215,0.55308,0.52197,0.49834,0.20921,2.02496,1.58977,1.53987,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4578.84,2.03203,1.66048,1.53409,0.56752,0.51359,0.51605,0.21758,2.01617,1.57263,1.55976,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,5716.48,2.03339,1.64504,1.53192,0.55915,0.54107,0.52844,0.22369,2.01136,1.54871,1.53253,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,6010.91,2.02972,1.63023,1.53133,0.58309,0.53594,0.5372,0.23025,1.98538,1.53296,1.53792,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,6346.15,2.01528,1.61754,1.52752,0.59325,0.54774,0.55182,0.23828,1.98969,1.49547,1.53531,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,6675.82,2.01677,1.60719,1.52416,0.59382,0.54634,0.55077,0.23747,1.98633,1.49626,1.53933,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,6981.99,2.01358,1.59387,1.52147,0.59928,0.55041,0.56344,0.24525,1.96812,1.47546,1.52548,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,7279.56,2.0083,1.58724,1.52007,0.61604,0.55432,0.57543,0.25103,1.98103,1.45901,1.52069,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,7570.53,1.99863,1.55747,1.51165,0.6149,0.55215,0.57243,0.24928,1.96742,1.44802,1.51174,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,7860.44,1.99689,1.55508,1.50587,0.62764,0.57458,0.59198,0.258,1.97365,1.40859,1.51333,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,8172.33,1.99246,1.53946,1.49972,0.63809,0.57607,0.60075,0.2618,1.96385,1.39516,1.50976,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,8463.5,1.98784,1.53187,1.49933,0.64862,0.56534,0.6051,0.26697,1.95551,1.39111,1.50608,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,8766.17,1.98263,1.52397,1.49511,0.64847,0.57635,0.61174,0.26998,1.952,1.37752,1.49685,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,9090.55,1.9801,1.51197,1.49268,0.64255,0.5857,0.61953,0.27321,1.95016,1.36291,1.49186,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,9403.02,1.97411,1.49263,1.49341,0.67213,0.59345,0.6355,0.28125,1.94915,1.33526,1.50121,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,9705.02,1.97297,1.48038,1.48418,0.66416,0.60062,0.63798,0.2829,1.94271,1.32431,1.49192,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,10022.8,1.96922,1.46874,1.47971,0.68178,0.59652,0.6433,0.2865,1.94209,1.31429,1.48323,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,10322.3,1.96458,1.46222,1.48047,0.67317,0.59889,0.64511,0.28844,1.93944,1.30562,1.48566,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,10627.5,1.96123,1.45076,1.47836,0.68695,0.60128,0.65426,0.29353,1.93519,1.29294,1.48359,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,10920.9,1.96352,1.44136,1.47533,0.68373,0.60936,0.6586,0.29746,1.93367,1.27714,1.48332,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
