epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,293.677,2.1242,2.05611,1.64829,0.41027,0.42426,0.35006,0.13207,2.21599,1.89232,1.71691,0.009987,0.003329,0.009987,0.003329,0.009987,0.003329,0.009987,0.003329
2,519.615,2.12096,1.86158,1.61222,0.45795,0.37776,0.32881,0.11914,2.22771,2.04491,1.70783,0.0197891,0.00659637,0.0197891,0.00659637,0.0197891,0.00659637,0.0197891,0.00659637
3,741.958,2.18675,1.95121,1.69005,0.54255,0.38962,0.35078,0.13311,2.2022,2.10821,1.85442,0.0293933,0.00979775,0.0293933,0.00979775,0.0293933,0.00979775,0.0293933,0.00979775
4,950.684,2.16282,1.89189,1.70895,0.45318,0.38881,0.34425,0.13768,2.16163,2.05963,1.79437,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1158.02,2.11767,1.82066,1.69566,0.47374,0.46283,0.40709,0.15999,2.11404,1.82352,1.73984,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1366.37,2.0905,1.77422,1.66796,0.48414,0.4613,0.4222,0.17081,2.11991,1.7432,1.74783,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1574.26,2.06543,1.7215,1.6542,0.51722,0.48508,0.45448,0.18509,2.08354,1.70848,1.72862,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1782.79,2.05616,1.69111,1.65365,0.52463,0.49241,0.47031,0.1932,2.05621,1.64795,1.73318,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1991.54,2.03817,1.66089,1.63613,0.53887,0.47971,0.4761,0.19784,2.03977,1.64567,1.69912,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2201.68,2.02767,1.62926,1.63268,0.56645,0.50937,0.50762,0.21213,2.03576,1.63026,1.69127,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
