epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,461.936,1.95975,1.86613,1.66419,0.54928,0.58652,0.5452,0.22407,2.01493,1.52503,1.72703,0.00999133,0.00333044,0.00999133,0.00333044,0.00999133,0.00333044,0.00999133,0.00333044
2,888.747,1.95264,1.60362,1.62398,0.53892,0.50628,0.47714,0.1941,2.03162,1.68576,1.75477,0.0197934,0.00659781,0.0197934,0.00659781,0.0197934,0.00659781,0.0197934,0.00659781
3,1296.01,1.99625,1.68994,1.67689,0.4865,0.52283,0.46751,0.18727,2.03705,1.77373,1.81703,0.0293975,0.00979917,0.0293975,0.00979917,0.0293975,0.00979917,0.0293975,0.00979917
4,1696.79,2.00505,1.68813,1.68731,0.55387,0.53963,0.5129,0.21571,1.99839,1.61579,1.7909,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2097.46,1.95255,1.58542,1.65571,0.57892,0.57434,0.54013,0.22619,1.96466,1.54981,1.7383,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2498.5,1.92162,1.52153,1.62704,0.59086,0.59519,0.58925,0.25772,1.94338,1.44063,1.7217,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2899.71,1.89742,1.48141,1.61814,0.62545,0.58743,0.59908,0.26771,1.90958,1.45107,1.70451,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3299.96,1.88044,1.44475,1.61155,0.62585,0.59322,0.60436,0.27333,1.89742,1.40355,1.69408,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3699.18,1.86679,1.41713,1.59781,0.64614,0.62328,0.62943,0.28229,1.89516,1.36387,1.69416,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4098.84,1.84922,1.37459,1.58851,0.6723,0.63635,0.65728,0.30104,1.87687,1.30132,1.68249,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4498.92,1.83336,1.34446,1.57006,0.68105,0.64155,0.66492,0.30759,1.88339,1.2756,1.66757,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4899.14,1.81158,1.30084,1.56093,0.68581,0.64408,0.68124,0.32494,1.84451,1.24082,1.6673,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,5300.44,1.80973,1.27937,1.56374,0.71639,0.66384,0.71213,0.33761,1.83296,1.19533,1.66569,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
